n_commits,nome,localidade
2,MatthewMadurski,
2,MatthewRich,
2,MatthewTretter,
2,MattiaProcopio,
2,MaxBurstein,
2,MaximMilovanov,
2,MaximPiskunov,
2,Md.SadafNoor,
2,MelvynSopacua,
2,MichaelHall,
2,MichaelHowitz,
2,MichaelKelly,
2,MichaelSchwarz,
2,MichałPasternak,
2,MichelLeBihan,
2,MikeJohnson,
2,MikhailDenisenko,
2,MikkelMunchMortensen,
2,MykolaKokalko,
2,NathanGaberel,
2,NathanSmith,
2,NgZhiAn,
2,NgalimSiregar,
2,NickBruun,
2,NickFrazier,
2,NickJohnson,
2,NickSmith,
2,NickTouran,
2,NiclasÅhdén,
2,NielsVanOch,
2,NikolausSchlemm,
2,NoenglishProfessorbut,
2,Octavio,
2,OlivierLeThanhDuong,
2,Pablo,
2,PabloRecio,
2,PanagiotisH.M.Issaris,
2,ParthVerma,
2,PatrickArminio,
2,PatrikSletmo,
2,PauloAlvarado,
2,PavelKulikov,
2,PedroMaltez,
2,PedroMourelle,
2,PeterHarley,
2,PeterSchmidt,
2,PetterFriberg,
2,PetterStrandmark,
2,PhaneendraChiruvella,
2,PiperMerriam,
2,PyieZone,
2,QileWang,
2,R3v1L,
2,RachelTobin,
2,RajDesai,
2,RajeshVeeranki,
2,RaminFarajpourCami,
2,RamonSaraiva,
2,RaulCumplido,
2,RenatoOliveira,
2,RivoLaks,
2,RockyMeza,
2,RogerHu,
2,Rohit,
2,Rolo,
2,RomainGarrigues,
2,Roxane,
2,RudyMutter,
2,RyanHeard,
2,RyanPKilby,
2,SaeX,
2,ScottPashley,
2,SelwinOng,
2,ShrikrishnaSingh,
2,Shubhamsingh,
2,Siburg,
2,SigurdLjødal,
2,SihSîng-hông薛丞宏,
2,SimonePellizzari,
2,Sjbrgsn,
2,Sky,
2,Smile,
2,SondreLillebøGundersen,
2,StanislavKarpov,
2,Steadman,
2,StefanR.Filipek,
2,StefanSchneider,
2,StefanWehrmeyer,
2,StephenJames,
2,StevenDas,
2,StratosMoros,
2,SulabhKatila,
2,Sultan,
2,SusanTan,
2,SylvainBellemare,
2,SzczepanCieślik,
2,SzilveszterFarkas,
2,SævarÖfjörðMagnússon,
2,SławekEhlert,
2,TakayukiHirayama,
2,TheofilosAlexiou,
2,ThibautDecombe,
2,ThomasOrozco,
2,ThomasSchreiber,
2,ThomasSorrel,
2,ThomasThurman,
2,TimBaxter,
2,TimBell,
2,TimGates,
2,TomInsam,
2,TomScrace,
2,TomasMcNamer,
2,TomaszRybak,
2,TysonClugg,
2,Tzu-pingChung,
2,UlrichPetri,
2,ValentinaMukhamedzhanova,
2,VibhuAgarwal,
2,VictorOliveiradaSilva,
2,Viicos,
2,ViktorLomakin,
2,VirtosuBogdan,
2,VishvajitPathak,
2,VojtechBocek,
2,VyacheslavVer,
2,WillHardy,
2,YamilaMoreno,
2,Yash,
2,YashRaj1506,
2,YigitGuler,
2,YinJifeng,
2,YoungkwangYang,
2,Youssef,
2,YuriKonotopov,
2,ZachBorboa,
2,ZachLiuGIS,
2,ZainabAmir,
2,ZhaorongMa,
2,alexgmin,
2,alosultan,
2,amirrezasohrabifar,
2,an0o0nym,
2,anabelensc,
2,andrewnester,
2,anthonykugel,
2,arniu,
2,belegnar,
2,caleblogan,
2,cheng,
2,coagulant,
2,darkryder,
2,davidchorpash,
2,dbxnr,
2,devilsautumn,
2,django-bot,
2,donghao,
2,dr-rompecabezas,
2,erosselli,
2,evananyonga,
2,garwoodpr,
2,girishsontakke,
2,glts,
2,greg,
2,huishang,
2,humbertotm,
2,ieatkittens,
2,jkrzy,
2,jpribyl,
2,julien'pouete'Godin,
2,kalombo,
2,kingbuzzman,
2,knbk,
2,konarkmodi,
2,koresi,
2,leandrafinger,
2,levental,
2,lucasesposito,
2,luto,
2,luzpaz,
2,martin.bohacek,
2,mentix02,
2,mlissner,
2,monotonee,
2,nklas,
2,petedmarsh,
2,pp,
2,priyank.panchal,
2,qingfeng,
2,ravikunwar,
2,redodo,
2,rixx,
2,romgar,
2,rsiemens,
2,samruddhiDharankar,
2,sanjeevholla26,
2,sarthakmeh,
2,sharonwoo,
2,snowman2,
2,sreehari1997,
2,ssanger,
2,sujayskumar,
2,suraj,
2,tell-k,
2,tommcn,
2,valtron,
2,vinaykaranam,
2,wdmgsm,
2,wimglenn,
2,zedr,
2,zsoldosp,
2,ÉtienneLoks,
2,КайратМакым,
2,якотикпур-пур,
2,ᴙɘɘᴙgYmɘᴙɘj,
2,朱穆穆,
2,薛丞宏,
1,4the4ryushin,
1,9r0k,
1,=PratikKumar,
1,AK,
1,APJama,
1,AakashSingh,
1,AaronCannon,
1,AaronChong,
1,AaronLinville,
1,AbdullahDursun,
1,AbdulrahmanAlotaibi,
1,AbeerUpadhyay,
1,AbhinavPatil,
1,AbhinavYadav,
1,AbhishekGautam,
1,AbhishekGhaskata,
1,AbrahamMartin,
1,AdamAllred,
1,AdamChidlow,
1,AdamDePue,
1,AdamDobrawy,
1,AdamHaney,
1,AdamKaliński,
1,AdamMalinowski,
1,AdamRadwon,
1,AdamWentz,
1,AdamWester,
1,AdamWróbel,
1,AdamZahradník,
1,AdeLee,
1,AdiMukherjee,
1,AditBiswas,
1,AdityaChaudhary,
1,AdrianAndreias,
1,AdrianD'Alessandro,
1,Adrien,
1,AdrienBrunet,
1,AdrienLemaire,
1,AdrienneFranke,
1,AfrizaN.Arief,
1,AgnieszkaLasyk,
1,AhisaharPretel,
1,AhmedMohamed,
1,AivarsKalvans,
1,AjmalPonneth,
1,AkselEthem,
1,Akshat1Nar,
1,AlainIVARS,
1,AlanCrosswell,
1,AlanD.Snow,
1,AlbertoAvila,
1,AlbertoPlanas,
1,AlbertoSottile,
1,AldianFazrihady,
1,AlejandroDubrovsky,
1,AlejandroGómez,
1,AlejandroSánchez,
1,AlejandroZamora,
1,AleksanderBudzinski,
